"";"map_risco_inund";"fisc_ench";"sist_alert_ench"
"total_mun_affected";"0.066***";"0.026***";"0.025***"
"";"(0.003)";"(0.003)";"(0.002)"
"count_100mm";"0.046***";"0.034***";"0.005"
"";"(0.012)";"(0.011)";"(0.009)"
"log_population";"0.087***";"0.081***";"0.041***"
"";"(0.007)";"(0.006)";"(0.004)"
"log_gdp_pc";"0.054***";"0.036***";"0.015**"
"";"(0.014)";"(0.013)";"(0.007)"
"p_urbana";"0.119***";"0.072**";"0.059***"
"";"(0.037)";"(0.028)";"(0.019)"
"p_informal";"-0.404***";"-0.471***";"-0.258***"
"";"(0.136)";"(0.109)";"(0.076)"
"cobertura_agua";"-0.03";"-0.196";"0.077"
"";"(0.145)";"(0.145)";"(0.124)"
"(Intercept)";"-1.129***";"-0.984***";"-0.53***"
"";"(0.156)";"(0.145)";"(0.078)"
"";"";"";""
"RÂ²";"0.237";"0.15";"0.13"
"F-test";"242.265";"137.554";"116.212"
"Prob";"(0.00)";"(0.00)";"(0.00)"
"N";"5461";"5461";"5461"
